---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 29.333333333333332] [Damage event] PLANE_ATTACK: plane 81 damaged by 104 for 1 damage, now dead
[Turn 39.53333333333333] [Damage event] PLANE_ATTACK: plane 10 damaged by 104 for 1 damage, now dead
[Turn 39.733333333333334] [Damage event] PLANE_ATTACK: plane 40 damaged by 104 for 1 damage, now dead
[Turn 39.733333333333334] [Damage event] PLANE_ATTACK: plane 43 damaged by 104 for 1 damage, now dead
[Turn 44.6] [Damage event] PLANE_ATTACK: plane 45 damaged by 100 for 1 damage, now dead
[Turn 45.46666666666667] [Damage event] PLANE_ATTACK: plane 46 damaged by 101 for 1 damage, now dead
[Turn 45.53333333333333] [Damage event] PLANE_ATTACK: plane 7 damaged by 100 for 1 damage, now dead
[Turn 45.53333333333333] [Damage event] PLANE_ATTACK: plane 19 damaged by 101 for 1 damage, now dead
[Turn 45.6] [Damage event] PLANE_ATTACK: plane 60 damaged by 101 for 1 damage, now dead
[Turn 45.6] [Damage event] PLANE_ATTACK: plane 38 damaged by 102 for 1 damage, now dead
[Turn 45.666666666666664] [Damage event] PLANE_ATTACK: plane 49 damaged by 102 for 1 damage, now dead
[Turn 46] [Damage event] PLANE_ATTACK: plane 29 damaged by 103 for 1 damage, now dead
[Turn 46] [Damage event] PLANE_ATTACK: plane 69 damaged by 106 for 1 damage, now dead
[Turn 46.2] [Damage event] PLANE_ATTACK: plane 5 damaged by 101 for 1 damage, now dead
[Turn 46.2] [Damage event] PLANE_ATTACK: plane 5 damaged by 102 for 1 damage, now dead
[Turn 46.266666666666666] [Damage event] PLANE_ATTACK: plane 25 damaged by 101 for 1 damage, now dead
[Turn 46.53333333333333] [Damage event] PLANE_ATTACK: plane 6 damaged by 103 for 1 damage, now dead
[Turn 46.53333333333333] [Damage event] PLANE_ATTACK: plane 59 damaged by 106 for 1 damage, now dead
[Turn 46.53333333333333] [Damage event] PLANE_ATTACK: plane 79 damaged by 106 for 1 damage, now dead
[Turn 46.666666666666664] [Damage event] PLANE_ATTACK: plane 3 damaged by 101 for 1 damage, now dead
[Turn 46.8] [Damage event] PLANE_ATTACK: plane 34 damaged by 100 for 1 damage, now dead
[Turn 46.8] [Damage event] PLANE_ATTACK: plane 8 damaged by 103 for 1 damage, now dead
[Turn 47.06666666666667] [Damage event] PLANE_ATTACK: plane 1 damaged by 100 for 1 damage, now dead
[Turn 47.266666666666666] [Damage event] PLANE_ATTACK: plane 2 damaged by 100 for 1 damage, now dead
[Turn 47.333333333333336] [Damage event] PLANE_ATTACK: plane 13 damaged by 100 for 1 damage, now dead
[Turn 47.333333333333336] [Damage event] PLANE_ATTACK: plane 98 damaged by 106 for 1 damage, now dead
[Turn 47.46666666666667] [Damage event] PLANE_ATTACK: plane 11 damaged by 100 for 1 damage, now dead
[Turn 47.46666666666667] [Damage event] PLANE_ATTACK: plane 50 damaged by 101 for 1 damage, now dead
[Turn 47.53333333333333] [Damage event] PLANE_ATTACK: plane 99 damaged by 106 for 1 damage, now dead
[Turn 47.8] [Damage event] PLANE_ATTACK: plane 9 damaged by 102 for 1 damage, now dead
[Turn 47.8] [Damage event] PLANE_ATTACK: plane 97 damaged by 106 for 1 damage, now dead
[Turn 47.93333333333333] [Damage event] PLANE_ATTACK: plane 22 damaged by 100 for 1 damage, now dead
[Turn 47.93333333333333] [Damage event] PLANE_ATTACK: plane 39 damaged by 102 for 1 damage, now dead
[Turn 47.93333333333333] [Damage event] PLANE_ATTACK: plane 39 damaged by 103 for 1 damage, now dead
[Turn 48.333333333333336] [Damage event] PLANE_ATTACK: plane 18 damaged by 102 for 1 damage, now dead
[Turn 48.8] [Damage event] PLANE_ATTACK: plane 20 damaged by 100 for 1 damage, now dead
[Turn 49.13333333333333] [Damage event] COLLISION: plane 106 damaged by 95 for 20 damage, now dead
[Turn 49.13333333333333] [Damage event] COLLISION: plane 95 damaged by 106 for 1 damage, now dead
[Turn 49.266666666666666] [Damage event] PLANE_ATTACK: plane 23 damaged by 101 for 1 damage, now dead
[Turn 49.4] [Damage event] COLLISION: plane 100 damaged by 21 for 5 damage, now dead
[Turn 49.4] [Damage event] COLLISION: plane 21 damaged by 100 for 1 damage, now dead
[Turn 49.46666666666667] [Damage event] PLANE_ATTACK: plane 14 damaged by 101 for 1 damage, now dead
[Turn 49.53333333333333] [Damage event] PLANE_ATTACK: plane 4 damaged by 102 for 1 damage, now dead
[Turn 49.733333333333334] [Damage event] PLANE_ATTACK: plane 73 damaged by 105 for 1 damage, now dead
[Turn 50.13333333333333] [Damage event] PLANE_ATTACK: plane 26 damaged by 101 for 1 damage, now dead
[Turn 51.8] [Damage event] PLANE_ATTACK: plane 75 damaged by 104 for 1 damage, now dead
[Turn 52.4] [Damage event] PLANE_ATTACK: plane 63 damaged by 105 for 1 damage, now dead
[Turn 52.666666666666664] [Damage event] PLANE_ATTACK: plane 16 damaged by 105 for 1 damage, now dead
[Turn 52.93333333333333] [Damage event] PLANE_ATTACK: plane 17 damaged by 105 for 1 damage, now dead
[Turn 53.333333333333336] [Damage event] PLANE_ATTACK: plane 65 damaged by 105 for 1 damage, now dead
[Turn 54.333333333333336] [Damage event] PLANE_ATTACK: plane 54 damaged by 104 for 1 damage, now dead
[Turn 54.6] [Damage event] PLANE_ATTACK: plane 85 damaged by 104 for 1 damage, now dead
[Turn 54.733333333333334] [Damage event] PLANE_ATTACK: plane 87 damaged by 104 for 1 damage, now dead
[Turn 56.53333333333333] [Damage event] PLANE_ATTACK: plane 83 damaged by 104 for 1 damage, now dead
[Turn 57] [Damage event] PLANE_ATTACK: plane 89 damaged by 104 for 1 damage, now dead
[Turn 67.4] [Damage event] PLANE_ATTACK: plane 96 damaged by 105 for 1 damage, now dead
[Turn 68] [Damage event] PLANE_ATTACK: plane 86 damaged by 105 for 1 damage, now dead
[Turn 68.13333333333334] [Damage event] PLANE_ATTACK: plane 88 damaged by 105 for 1 damage, now dead
[Turn 69.73333333333333] [Damage event] PLANE_ATTACK: plane 94 damaged by 105 for 1 damage, now dead
[Turn 70.8] [Damage event] PLANE_ATTACK: plane 66 damaged by 105 for 1 damage, now dead
[Turn 77.06666666666666] [Damage event] PLANE_ATTACK: plane 76 damaged by 102 for 1 damage, now dead
[Turn 77.13333333333334] [Damage event] PLANE_ATTACK: plane 93 damaged by 103 for 1 damage, now dead
[Turn 77.73333333333333] [Damage event] PLANE_ATTACK: plane 55 damaged by 101 for 1 damage, now dead
[Turn 77.8] [Damage event] PLANE_ATTACK: plane 12 damaged by 104 for 1 damage, now dead
[Turn 77.8] [Damage event] PLANE_ATTACK: plane 15 damaged by 104 for 1 damage, now dead
[Turn 77.93333333333334] [Damage event] PLANE_ATTACK: plane 27 damaged by 104 for 1 damage, now dead
[Turn 79.4] [Damage event] PLANE_ATTACK: plane 64 damaged by 105 for 1 damage, now dead
[Turn 79.6] [Damage event] PLANE_ATTACK: plane 78 damaged by 103 for 1 damage, now dead
[Turn 80] [Damage event] PLANE_ATTACK: plane 58 damaged by 102 for 1 damage, now dead
[Turn 80.73333333333333] [Damage event] COLLISION: plane 105 damaged by 57 for 10 damage, now dead
[Turn 80.73333333333333] [Damage event] COLLISION: plane 57 damaged by 105 for 1 damage, now dead
[Turn 81.46666666666667] [Damage event] PLANE_ATTACK: plane 84 damaged by 102 for 1 damage, now dead
[Turn 82.46666666666667] [Damage event] PLANE_ATTACK: plane 67 damaged by 101 for 1 damage, now dead
[Turn 100.33333333333333] [Damage event] PLANE_ATTACK: plane 68 damaged by 104 for 1 damage, now dead
[Turn 102.2] [Damage event] PLANE_ATTACK: plane 28 damaged by 104 for 1 damage, now dead
[Turn 102.33333333333333] [Damage event] PLANE_ATTACK: plane 35 damaged by 104 for 1 damage, now dead
[Turn 102.4] [Damage event] PLANE_ATTACK: plane 37 damaged by 104 for 1 damage, now dead
[Turn 102.8] [Damage event] PLANE_ATTACK: plane 24 damaged by 104 for 1 damage, now dead
[Turn 103.46666666666667] [Damage event] PLANE_ATTACK: plane 32 damaged by 104 for 1 damage, now dead
[Turn 104.06666666666666] [Damage event] PLANE_ATTACK: plane 36 damaged by 104 for 1 damage, now dead
[Turn 120.2] [Damage event] PLANE_ATTACK: plane 77 damaged by 104 for 1 damage, now dead
[Turn 122.4] [Damage event] PLANE_ATTACK: plane 0 damaged by 104 for 1 damage, now dead
[Turn 124.26666666666667] [Damage event] PLANE_ATTACK: plane 56 damaged by 104 for 1 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 101 damaged for 5 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 102 damaged for 5 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 103 damaged for 5 damage, now dead
[Turn 140.6] [Damage event] PLANE_ATTACK: plane 42 damaged by 104 for 1 damage, now dead
[Turn 143.8] [Damage event] COLLISION: plane 104 damaged by 48 for 10 damage, now dead
[Turn 143.8] [Damage event] COLLISION: plane 48 damaged by 104 for 1 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

