---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 34.46666666666667] [Damage event] PLANE_ATTACK: plane 68 damaged by 5 for 1 damage, now dead
[Turn 49.8] [Damage event] PLANE_ATTACK: plane 85 damaged by 6 for 1 damage, now dead
[Turn 50.666666666666664] [Damage event] PLANE_ATTACK: plane 95 damaged by 6 for 1 damage, now dead
[Turn 50.733333333333334] [Damage event] PLANE_ATTACK: plane 75 damaged by 6 for 1 damage, now dead
[Turn 50.8] [Damage event] PLANE_ATTACK: plane 86 damaged by 6 for 1 damage, now dead
[Turn 51.13333333333333] [Damage event] PLANE_ATTACK: plane 66 damaged by 6 for 1 damage, now dead
[Turn 51.266666666666666] [Damage event] PLANE_ATTACK: plane 76 damaged by 6 for 1 damage, now dead
[Turn 51.266666666666666] [Damage event] PLANE_ATTACK: plane 106 damaged by 6 for 1 damage, now dead
[Turn 51.93333333333333] [Damage event] PLANE_ATTACK: plane 96 damaged by 6 for 1 damage, now dead
[Turn 57.46666666666667] [Damage event] PLANE_ATTACK: plane 14 damaged by 0 for 1 damage, now dead
[Turn 57.46666666666667] [Damage event] PLANE_ATTACK: plane 35 damaged by 1 for 1 damage, now dead
[Turn 57.6] [Damage event] PLANE_ATTACK: plane 24 damaged by 0 for 1 damage, now dead
[Turn 57.6] [Damage event] PLANE_ATTACK: plane 45 damaged by 1 for 1 damage, now dead
[Turn 58.2] [Damage event] PLANE_ATTACK: plane 53 damaged by 0 for 1 damage, now dead
[Turn 58.2] [Damage event] PLANE_ATTACK: plane 25 damaged by 2 for 1 damage, now dead
[Turn 58.2] [Damage event] PLANE_ATTACK: plane 46 damaged by 3 for 1 damage, now dead
[Turn 58.6] [Damage event] PLANE_ATTACK: plane 44 damaged by 0 for 1 damage, now dead
[Turn 58.6] [Damage event] PLANE_ATTACK: plane 16 damaged by 2 for 1 damage, now dead
[Turn 58.93333333333333] [Damage event] PLANE_ATTACK: plane 34 damaged by 0 for 1 damage, now dead
[Turn 58.93333333333333] [Damage event] PLANE_ATTACK: plane 55 damaged by 1 for 1 damage, now dead
[Turn 59] [Damage event] PLANE_ATTACK: plane 33 damaged by 0 for 1 damage, now dead
[Turn 59] [Damage event] PLANE_ATTACK: plane 43 damaged by 0 for 1 damage, now dead
[Turn 59] [Damage event] PLANE_ATTACK: plane 54 damaged by 1 for 1 damage, now dead
[Turn 59] [Damage event] PLANE_ATTACK: plane 15 damaged by 2 for 1 damage, now dead
[Turn 59.266666666666666] [Damage event] PLANE_ATTACK: plane 23 damaged by 0 for 1 damage, now dead
[Turn 59.6] [Damage event] PLANE_ATTACK: plane 13 damaged by 0 for 1 damage, now dead
[Turn 63.2] [Damage event] COLLISION: plane 52 damaged by 0 for 1 damage, now dead
[Turn 63.2] [Damage event] COLLISION: plane 0 damaged by 52 for 5 damage, now dead
[Turn 65.93333333333334] [Damage event] PLANE_ATTACK: plane 21 damaged by 2 for 1 damage, now dead
[Turn 65.93333333333334] [Damage event] PLANE_ATTACK: plane 42 damaged by 3 for 1 damage, now dead
[Turn 66.53333333333333] [Damage event] PLANE_ATTACK: plane 11 damaged by 2 for 1 damage, now dead
[Turn 66.53333333333333] [Damage event] PLANE_ATTACK: plane 32 damaged by 3 for 1 damage, now dead
[Turn 67.2] [Damage event] PLANE_ATTACK: plane 49 damaged by 1 for 1 damage, now dead
[Turn 67.33333333333333] [Damage event] PLANE_ATTACK: plane 89 damaged by 6 for 1 damage, now dead
[Turn 67.73333333333333] [Damage event] PLANE_ATTACK: plane 39 damaged by 1 for 1 damage, now dead
[Turn 68.13333333333334] [Damage event] PLANE_ATTACK: plane 29 damaged by 1 for 1 damage, now dead
[Turn 68.13333333333334] [Damage event] PLANE_ATTACK: plane 50 damaged by 2 for 1 damage, now dead
[Turn 68.53333333333333] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, now dead
[Turn 68.53333333333333] [Damage event] PLANE_ATTACK: plane 30 damaged by 2 for 1 damage, now dead
[Turn 68.53333333333333] [Damage event] PLANE_ATTACK: plane 51 damaged by 3 for 1 damage, now dead
[Turn 68.66666666666667] [Damage event] PLANE_ATTACK: plane 19 damaged by 1 for 1 damage, now dead
[Turn 68.66666666666667] [Damage event] PLANE_ATTACK: plane 28 damaged by 1 for 1 damage, now dead
[Turn 68.66666666666667] [Damage event] PLANE_ATTACK: plane 40 damaged by 2 for 1 damage, now dead
[Turn 68.66666666666667] [Damage event] COLLISION: plane 22 damaged by 3 for 1 damage, now dead
[Turn 68.66666666666667] [Damage event] COLLISION: plane 3 damaged by 22 for 5 damage, now dead
[Turn 69.06666666666666] [Damage event] PLANE_ATTACK: plane 38 damaged by 1 for 1 damage, now dead
[Turn 69.2] [Damage event] PLANE_ATTACK: plane 20 damaged by 2 for 1 damage, now dead
[Turn 70.6] [Damage event] COLLISION: plane 10 damaged by 2 for 1 damage, now dead
[Turn 70.6] [Damage event] COLLISION: plane 2 damaged by 10 for 5 damage, now dead
[Turn 75] [Damage event] PLANE_ATTACK: plane 104 damaged by 6 for 1 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 1 damaged for 5 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

