---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 68.33333333333333] [Damage event] PLANE_ATTACK: plane 64 damaged by 0 for 1 damage, now dead
[Turn 353.06666666666666] [Damage event] PLANE_ATTACK: plane 26 damaged by 2 for 1 damage, now dead
[Turn 361] [Damage event] PLANE_ATTACK: plane 96 damaged by 2 for 1 damage, now dead
[Turn 395.4] [Damage event] PLANE_ATTACK: plane 59 damaged by 2 for 1 damage, now dead
[Turn 411.8666666666667] [Damage event] PLANE_ATTACK: plane 87 damaged by 2 for 1 damage, now dead
[Turn 411.8666666666667] [Damage event] PLANE_ATTACK: plane 87 damaged by 3 for 1 damage, now dead
[Turn 423.8] [Damage event] PLANE_ATTACK: plane 66 damaged by 2 for 1 damage, now dead
[Turn 423.8] [Damage event] PLANE_ATTACK: plane 66 damaged by 3 for 1 damage, now dead
[Turn 425.6666666666667] [Damage event] PLANE_ATTACK: plane 25 damaged by 2 for 1 damage, now dead
[Turn 425.6666666666667] [Damage event] PLANE_ATTACK: plane 25 damaged by 3 for 1 damage, now dead
[Turn 436.26666666666665] [Damage event] PLANE_ATTACK: plane 24 damaged by 2 for 1 damage, now dead
[Turn 445.8666666666667] [Damage event] PLANE_ATTACK: plane 54 damaged by 3 for 1 damage, now dead
[Turn 446.06666666666666] [Damage event] PLANE_ATTACK: plane 60 damaged by 2 for 1 damage, now dead
[Turn 449.46666666666664] [Damage event] PLANE_ATTACK: plane 22 damaged by 1 for 1 damage, now dead
[Turn 449.46666666666664] [Damage event] PLANE_ATTACK: plane 48 damaged by 3 for 1 damage, now dead
[Turn 453.6] [Damage event] PLANE_ATTACK: plane 33 damaged by 1 for 1 damage, now dead
[Turn 457.93333333333334] [Damage event] PLANE_ATTACK: plane 49 damaged by 3 for 1 damage, now dead
[Turn 459] [Damage event] PLANE_ATTACK: plane 70 damaged by 1 for 1 damage, now dead
[Turn 494.6] [Damage event] PLANE_ATTACK: plane 15 damaged by 1 for 1 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

