---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 31.466666666666665] [Damage event] PLANE_ATTACK: plane 70 damaged by 103 for 1 damage, now dead
[Turn 59.666666666666664] [Damage event] PLANE_ATTACK: plane 84 damaged by 104 for 1 damage, now dead
[Turn 59.733333333333334] [Damage event] PLANE_ATTACK: plane 95 damaged by 104 for 1 damage, now dead
[Turn 60.06666666666667] [Damage event] PLANE_ATTACK: plane 75 damaged by 104 for 1 damage, now dead
[Turn 60.06666666666667] [Damage event] PLANE_ATTACK: plane 86 damaged by 104 for 1 damage, now dead
[Turn 60.333333333333336] [Damage event] PLANE_ATTACK: plane 94 damaged by 104 for 1 damage, now dead
[Turn 60.46666666666667] [Damage event] PLANE_ATTACK: plane 55 damaged by 104 for 1 damage, now dead
[Turn 60.46666666666667] [Damage event] PLANE_ATTACK: plane 76 damaged by 104 for 1 damage, now dead
[Turn 60.6] [Damage event] PLANE_ATTACK: plane 77 damaged by 104 for 1 damage, now dead
[Turn 60.6] [Damage event] PLANE_ATTACK: plane 87 damaged by 104 for 1 damage, now dead
[Turn 60.666666666666664] [Damage event] PLANE_ATTACK: plane 96 damaged by 104 for 1 damage, now dead
[Turn 60.93333333333333] [Damage event] PLANE_ATTACK: plane 57 damaged by 104 for 1 damage, now dead
[Turn 61.266666666666666] [Damage event] PLANE_ATTACK: plane 78 damaged by 104 for 1 damage, now dead
[Turn 61.333333333333336] [Damage event] PLANE_ATTACK: plane 68 damaged by 104 for 1 damage, now dead
[Turn 61.333333333333336] [Damage event] PLANE_ATTACK: plane 79 damaged by 104 for 1 damage, now dead
[Turn 61.666666666666664] [Damage event] PLANE_ATTACK: plane 69 damaged by 104 for 1 damage, now dead
[Turn 61.733333333333334] [Damage event] PLANE_ATTACK: plane 67 damaged by 104 for 1 damage, now dead
[Turn 61.86666666666667] [Damage event] PLANE_ATTACK: plane 59 damaged by 104 for 1 damage, now dead
[Turn 61.93333333333333] [Damage event] PLANE_ATTACK: plane 58 damaged by 104 for 1 damage, now dead
[Turn 65.6] [Damage event] PLANE_ATTACK: plane 88 damaged by 102 for 1 damage, now dead
[Turn 68.33333333333333] [Damage event] PLANE_ATTACK: plane 74 damaged by 102 for 1 damage, now dead
[Turn 69.46666666666667] [Damage event] PLANE_ATTACK: plane 64 damaged by 102 for 1 damage, now dead
[Turn 70.73333333333333] [Damage event] PLANE_ATTACK: plane 4 damaged by 102 for 1 damage, now dead
[Turn 93.86666666666666] [Damage event] PLANE_ATTACK: plane 99 damaged by 103 for 1 damage, now dead
[Turn 95] [Damage event] PLANE_ATTACK: plane 89 damaged by 103 for 1 damage, now dead
[Turn 98.06666666666666] [Damage event] PLANE_ATTACK: plane 98 damaged by 100 for 1 damage, now dead
[Turn 104.53333333333333] [Damage event] PLANE_ATTACK: plane 56 damaged by 102 for 1 damage, now dead
[Turn 121.13333333333334] [Damage event] PLANE_ATTACK: plane 66 damaged by 103 for 1 damage, now dead
[Turn 126.33333333333333] [Damage event] PLANE_ATTACK: plane 97 damaged by 103 for 1 damage, now dead
[Turn 201.66666666666666] [Damage event] PLANE_ATTACK: plane 24 damaged by 101 for 1 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

