---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 376.8] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, still alive
[Turn 415] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 416] [Damage event] PLANE_ATTACK: plane 7 damaged by 4 for 1 damage, still alive
[Turn 416] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 417] [Damage event] PLANE_ATTACK: plane 7 damaged by 4 for 1 damage, still alive
[Turn 417] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 417.3333333333333] [Damage event] PLANE_ATTACK: plane 4 damaged by 6 for 1 damage, still alive
[Turn 417.53333333333336] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 418] [Damage event] PLANE_ATTACK: plane 7 damaged by 4 for 1 damage, still alive
[Turn 418] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 418] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 418] [Damage event] PLANE_ATTACK: plane 4 damaged by 6 for 1 damage, still alive
[Turn 419] [Damage event] PLANE_ATTACK: plane 7 damaged by 4 for 1 damage, still alive
[Turn 419] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 419] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 419] [Damage event] PLANE_ATTACK: plane 4 damaged by 6 for 1 damage, still alive
[Turn 420] [Damage event] PLANE_ATTACK: plane 8 damaged by 4 for 1 damage, still alive
[Turn 420] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 420] [Damage event] PLANE_ATTACK: plane 4 damaged by 6 for 1 damage, still alive
[Turn 421] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 421] [Damage event] PLANE_ATTACK: plane 4 damaged by 6 for 1 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

