---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 165] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 173] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 173] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 173.66666666666666] [Damage event] BORDER: plane 4 damaged for 20 damage, now dead
[Turn 173.93333333333334] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 174] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 174.06666666666666] [Damage event] BORDER: plane 3 damaged for 20 damage, now dead
[Turn 174.26666666666668] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 175] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 175] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 176] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 176.26666666666668] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 177] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 177] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 178] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 178.26666666666668] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 179] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 179] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 179.93333333333334] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 180] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 180.26666666666668] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 181] [Damage event] PLANE_ATTACK: plane 9 damaged by 1 for 1 damage, still alive
[Turn 181] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, still alive
[Turn 182] [Damage event] PLANE_ATTACK: plane 1 damaged by 7 for 1 damage, now dead
[Turn 206.6] [Damage event] PLANE_ATTACK: plane 9 damaged by 2 for 1 damage, still alive
[Turn 206.73333333333332] [Damage event] PLANE_ATTACK: plane 0 damaged by 9 for 1 damage, still alive
[Turn 206.93333333333334] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, still alive
[Turn 207] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, now dead
[Turn 207] [Damage event] PLANE_ATTACK: plane 9 damaged by 2 for 1 damage, now dead
[Turn 207] [Damage event] PLANE_ATTACK: plane 0 damaged by 9 for 1 damage, still alive
[Turn 207.33333333333334] [Damage event] PLANE_ATTACK: plane 0 damaged by 8 for 1 damage, still alive
[Turn 207.53333333333333] [Damage event] PLANE_ATTACK: plane 8 damaged by 2 for 1 damage, still alive
[Turn 208] [Damage event] PLANE_ATTACK: plane 8 damaged by 2 for 1 damage, still alive
[Turn 208] [Damage event] PLANE_ATTACK: plane 0 damaged by 8 for 1 damage, still alive
[Turn 208] [Damage event] PLANE_ATTACK: plane 2 damaged by 8 for 1 damage, still alive
[Turn 208.06666666666666] [Damage event] PLANE_ATTACK: plane 0 damaged by 7 for 1 damage, still alive
[Turn 208.13333333333333] [Damage event] PLANE_ATTACK: plane 2 damaged by 7 for 1 damage, still alive
[Turn 208.26666666666668] [Damage event] PLANE_ATTACK: plane 7 damaged by 2 for 1 damage, still alive
[Turn 208.6] [Damage event] COLLISION: plane 8 damaged by 2 for 16 damage, now dead
[Turn 208.6] [Damage event] COLLISION: plane 2 damaged by 8 for 18 damage, now dead
[Turn 211.33333333333334] [Damage event] BORDER: plane 0 damaged for 15 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

