---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 0 on 9001
Connected to team 1 on 9002
Game started!
[Turn 472] [Damage event] PLANE_ATTACK: plane 46 damaged by 101 for 1 damage, now dead
[Turn 472.93333333333334] [Damage event] PLANE_ATTACK: plane 33 damaged by 101 for 1 damage, now dead
[Turn 473] [Damage event] PLANE_ATTACK: plane 41 damaged by 100 for 1 damage, now dead
[Turn 473] [Damage event] PLANE_ATTACK: plane 41 damaged by 101 for 1 damage, now dead
[Turn 473] [Damage event] PLANE_ATTACK: plane 51 damaged by 101 for 1 damage, now dead
[Turn 473.06666666666666] [Damage event] PLANE_ATTACK: plane 27 damaged by 101 for 1 damage, now dead
[Turn 473.1333333333333] [Damage event] PLANE_ATTACK: plane 13 damaged by 101 for 1 damage, now dead
[Turn 473.2] [Damage event] PLANE_ATTACK: plane 36 damaged by 101 for 1 damage, now dead
[Turn 473.26666666666665] [Damage event] PLANE_ATTACK: plane 38 damaged by 101 for 1 damage, now dead
[Turn 473.26666666666665] [Damage event] PLANE_ATTACK: plane 48 damaged by 101 for 1 damage, now dead
[Turn 473.26666666666665] [Damage event] PLANE_ATTACK: plane 53 damaged by 101 for 1 damage, now dead
[Turn 473.3333333333333] [Damage event] PLANE_ATTACK: plane 55 damaged by 100 for 1 damage, now dead
[Turn 473.3333333333333] [Damage event] PLANE_ATTACK: plane 55 damaged by 101 for 1 damage, now dead
[Turn 473.4] [Damage event] PLANE_ATTACK: plane 42 damaged by 101 for 1 damage, now dead
[Turn 473.4] [Damage event] PLANE_ATTACK: plane 57 damaged by 101 for 1 damage, now dead
[Turn 473.53333333333336] [Damage event] PLANE_ATTACK: plane 52 damaged by 100 for 1 damage, now dead
[Turn 473.53333333333336] [Damage event] PLANE_ATTACK: plane 52 damaged by 101 for 1 damage, now dead
[Turn 473.6] [Damage event] PLANE_ATTACK: plane 49 damaged by 101 for 1 damage, now dead
[Turn 473.6] [Damage event] PLANE_ATTACK: plane 60 damaged by 101 for 1 damage, now dead
[Turn 473.6666666666667] [Damage event] PLANE_ATTACK: plane 1 damaged by 100 for 1 damage, now dead
[Turn 473.6666666666667] [Damage event] PLANE_ATTACK: plane 63 damaged by 100 for 1 damage, now dead
[Turn 473.6666666666667] [Damage event] PLANE_ATTACK: plane 1 damaged by 101 for 1 damage, now dead
[Turn 473.6666666666667] [Damage event] PLANE_ATTACK: plane 63 damaged by 101 for 1 damage, now dead
[Turn 473.8] [Damage event] PLANE_ATTACK: plane 65 damaged by 100 for 1 damage, now dead
[Turn 473.8] [Damage event] PLANE_ATTACK: plane 50 damaged by 101 for 1 damage, now dead
[Turn 473.8] [Damage event] PLANE_ATTACK: plane 65 damaged by 101 for 1 damage, now dead
[Turn 473.93333333333334] [Damage event] PLANE_ATTACK: plane 56 damaged by 100 for 1 damage, now dead
[Turn 473.93333333333334] [Damage event] PLANE_ATTACK: plane 56 damaged by 101 for 1 damage, now dead
[Turn 474] [Damage event] PLANE_ATTACK: plane 59 damaged by 100 for 1 damage, now dead
[Turn 474] [Damage event] PLANE_ATTACK: plane 70 damaged by 100 for 1 damage, now dead
[Turn 474] [Damage event] PLANE_ATTACK: plane 59 damaged by 101 for 1 damage, now dead
[Turn 474] [Damage event] PLANE_ATTACK: plane 70 damaged by 101 for 1 damage, now dead
[Turn 474.1333333333333] [Damage event] PLANE_ATTACK: plane 71 damaged by 100 for 1 damage, now dead
[Turn 474.1333333333333] [Damage event] PLANE_ATTACK: plane 66 damaged by 101 for 1 damage, now dead
[Turn 474.1333333333333] [Damage event] PLANE_ATTACK: plane 71 damaged by 101 for 1 damage, now dead
[Turn 474.1333333333333] [Damage event] PLANE_ATTACK: plane 80 damaged by 101 for 1 damage, now dead
[Turn 474.2] [Damage event] PLANE_ATTACK: plane 62 damaged by 100 for 1 damage, now dead
[Turn 474.2] [Damage event] PLANE_ATTACK: plane 62 damaged by 101 for 1 damage, now dead
[Turn 474.3333333333333] [Damage event] PLANE_ATTACK: plane 73 damaged by 100 for 1 damage, now dead
[Turn 474.3333333333333] [Damage event] PLANE_ATTACK: plane 74 damaged by 100 for 1 damage, now dead
[Turn 474.3333333333333] [Damage event] PLANE_ATTACK: plane 73 damaged by 101 for 1 damage, now dead
[Turn 474.3333333333333] [Damage event] PLANE_ATTACK: plane 74 damaged by 101 for 1 damage, now dead
[Turn 475] [Damage event] PLANE_ATTACK: plane 72 damaged by 101 for 1 damage, now dead
[Turn 476.93333333333334] [Damage event] PLANE_ATTACK: plane 26 damaged by 102 for 1 damage, now dead
[Turn 477.26666666666665] [Damage event] PLANE_ATTACK: plane 12 damaged by 102 for 1 damage, now dead
[Turn 477.46666666666664] [Damage event] PLANE_ATTACK: plane 4 damaged by 102 for 1 damage, now dead
[Turn 477.53333333333336] [Damage event] PLANE_ATTACK: plane 54 damaged by 102 for 1 damage, now dead
[Turn 477.53333333333336] [Damage event] PLANE_ATTACK: plane 15 damaged by 103 for 1 damage, now dead
[Turn 477.6666666666667] [Damage event] PLANE_ATTACK: plane 64 damaged by 102 for 1 damage, now dead
[Turn 477.6666666666667] [Damage event] PLANE_ATTACK: plane 16 damaged by 103 for 1 damage, now dead
[Turn 477.73333333333335] [Damage event] PLANE_ATTACK: plane 3 damaged by 103 for 1 damage, now dead
[Turn 477.8] [Damage event] PLANE_ATTACK: plane 84 damaged by 102 for 1 damage, now dead
[Turn 477.8] [Damage event] PLANE_ATTACK: plane 92 damaged by 102 for 1 damage, now dead
[Turn 477.93333333333334] [Damage event] PLANE_ATTACK: plane 58 damaged by 102 for 1 damage, now dead
[Turn 477.93333333333334] [Damage event] PLANE_ATTACK: plane 81 damaged by 102 for 1 damage, now dead
[Turn 477.93333333333334] [Damage event] PLANE_ATTACK: plane 17 damaged by 103 for 1 damage, now dead
[Turn 478] [Damage event] PLANE_ATTACK: plane 22 damaged by 103 for 1 damage, now dead
[Turn 478] [Damage event] PLANE_ATTACK: plane 31 damaged by 103 for 1 damage, now dead
[Turn 478.06666666666666] [Damage event] PLANE_ATTACK: plane 88 damaged by 102 for 1 damage, now dead
[Turn 478.1333333333333] [Damage event] PLANE_ATTACK: plane 2 damaged by 103 for 1 damage, now dead
[Turn 478.2] [Damage event] PLANE_ATTACK: plane 18 damaged by 103 for 1 damage, now dead
[Turn 478.2] [Damage event] PLANE_ATTACK: plane 29 damaged by 103 for 1 damage, now dead
[Turn 478.26666666666665] [Damage event] PLANE_ATTACK: plane 61 damaged by 102 for 1 damage, now dead
[Turn 478.26666666666665] [Damage event] PLANE_ATTACK: plane 76 damaged by 102 for 1 damage, now dead
[Turn 478.26666666666665] [Damage event] PLANE_ATTACK: plane 95 damaged by 102 for 1 damage, now dead
[Turn 478.26666666666665] [Damage event] PLANE_ATTACK: plane 20 damaged by 103 for 1 damage, now dead
[Turn 478.3333333333333] [Damage event] PLANE_ATTACK: plane 75 damaged by 102 for 1 damage, now dead
[Turn 478.4] [Damage event] PLANE_ATTACK: plane 28 damaged by 103 for 1 damage, now dead
[Turn 478.46666666666664] [Damage event] PLANE_ATTACK: plane 9 damaged by 103 for 1 damage, now dead
[Turn 478.6] [Damage event] PLANE_ATTACK: plane 78 damaged by 102 for 1 damage, now dead
[Turn 478.6] [Damage event] PLANE_ATTACK: plane 30 damaged by 103 for 1 damage, now dead
[Turn 478.6666666666667] [Damage event] PLANE_ATTACK: plane 69 damaged by 102 for 1 damage, now dead
[Turn 478.8666666666667] [Damage event] PLANE_ATTACK: plane 5 damaged by 103 for 1 damage, now dead
[Turn 479.06666666666666] [Damage event] PLANE_ATTACK: plane 68 damaged by 102 for 1 damage, now dead
[Turn 479.06666666666666] [Damage event] PLANE_ATTACK: plane 10 damaged by 103 for 1 damage, now dead
[Turn 479.06666666666666] [Damage event] PLANE_ATTACK: plane 23 damaged by 103 for 1 damage, now dead
[Turn 479.1333333333333] [Damage event] PLANE_ATTACK: plane 6 damaged by 103 for 1 damage, now dead
[Turn 479.4] [Damage event] PLANE_ATTACK: plane 24 damaged by 103 for 1 damage, now dead
[Turn 479.46666666666664] [Damage event] PLANE_ATTACK: plane 8 damaged by 103 for 1 damage, now dead
[Turn 479.6] [Damage event] PLANE_ATTACK: plane 14 damaged by 103 for 1 damage, now dead
[Turn 479.8666666666667] [Damage event] PLANE_ATTACK: plane 96 damaged by 103 for 1 damage, now dead
[Turn 480.73333333333335] [Damage event] COLLISION: plane 103 damaged by 86 for 20 damage, now dead
[Turn 480.73333333333335] [Damage event] COLLISION: plane 86 damaged by 103 for 1 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----
[Turn 479] [Validation Error] Player 1 sent invalid steer -1.1146911144943472 for plane 100, corrected to -1
[Turn 479] [Validation Error] Player 1 sent invalid steer -1.1066135886798651 for plane 101, corrected to -1

