---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 28.8] [Damage event] PLANE_ATTACK: plane 12 damaged by 3 for 1 damage, still alive
[Turn 154] [Damage event] PLANE_ATTACK: plane 4 damaged by 5 for 1 damage, still alive
[Turn 170.33333333333334] [Damage event] BORDER: plane 12 damaged for 3 damage, now dead
[Turn 194.53333333333333] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 195] [Damage event] PLANE_ATTACK: plane 1 damaged by 8 for 1 damage, still alive
[Turn 195.26666666666668] [Damage event] PLANE_ATTACK: plane 8 damaged by 0 for 1 damage, still alive
[Turn 196] [Damage event] PLANE_ATTACK: plane 8 damaged by 0 for 1 damage, still alive
[Turn 197] [Damage event] PLANE_ATTACK: plane 8 damaged by 0 for 1 damage, now dead
[Turn 197.33333333333334] [Damage event] PLANE_ATTACK: plane 11 damaged by 0 for 1 damage, still alive
[Turn 197.4] [Damage event] PLANE_ATTACK: plane 5 damaged by 0 for 1 damage, now dead
[Turn 211.73333333333332] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, still alive
[Turn 212] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, still alive
[Turn 233.73333333333332] [Damage event] BORDER: plane 11 damaged for 1 damage, now dead
[Turn 234.13333333333333] [Damage event] PLANE_ATTACK: plane 14 damaged by 3 for 1 damage, still alive
[Turn 235] [Damage event] PLANE_ATTACK: plane 14 damaged by 3 for 1 damage, still alive
[Turn 236.33333333333334] [Damage event] PLANE_ATTACK: plane 13 damaged by 3 for 1 damage, still alive
[Turn 237] [Damage event] PLANE_ATTACK: plane 13 damaged by 3 for 1 damage, still alive
[Turn 237.53333333333333] [Damage event] PLANE_ATTACK: plane 6 damaged by 3 for 1 damage, now dead
[Turn 253.86666666666667] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, still alive
[Turn 254] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, still alive
[Turn 255] [Damage event] PLANE_ATTACK: plane 9 damaged by 0 for 1 damage, now dead
[Turn 255.53333333333333] [Damage event] PLANE_ATTACK: plane 7 damaged by 1 for 1 damage, still alive
[Turn 256] [Damage event] PLANE_ATTACK: plane 7 damaged by 1 for 1 damage, still alive
[Turn 257] [Damage event] PLANE_ATTACK: plane 7 damaged by 1 for 1 damage, still alive
[Turn 259.3333333333333] [Damage event] PLANE_ATTACK: plane 14 damaged by 0 for 1 damage, still alive
[Turn 259.6] [Damage event] PLANE_ATTACK: plane 0 damaged by 14 for 1 damage, still alive
[Turn 260] [Damage event] PLANE_ATTACK: plane 14 damaged by 0 for 1 damage, now dead
[Turn 260] [Damage event] PLANE_ATTACK: plane 0 damaged by 14 for 1 damage, still alive
[Turn 363.3333333333333] [Damage event] PLANE_ATTACK: plane 7 damaged by 1 for 1 damage, now dead
[Turn 387.93333333333334] [Damage event] PLANE_ATTACK: plane 13 damaged by 3 for 1 damage, still alive
[Turn 388] [Damage event] PLANE_ATTACK: plane 13 damaged by 3 for 1 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----
[Turn 1] [Validation Error] Player 0 sent invalid steer -1.25 for plane 0, corrected to -1
[Turn 2] [Validation Error] Player 0 sent invalid steer -1.3150768781343998 for plane 0, corrected to -1
[Turn 3] [Validation Error] Player 0 sent invalid steer -1.5058726308373651 for plane 0, corrected to -1
[Turn 4] [Validation Error] Player 0 sent invalid steer -1.8093848428670796 for plane 0, corrected to -1
[Turn 4] [Validation Error] Player 0 sent invalid steer -1.1987483916892465 for plane 1, corrected to -1
[Turn 4] [Validation Error] Player 0 sent invalid steer 1.1987483916892478 for plane 4, corrected to 1
[Turn 5] [Validation Error] Player 0 sent invalid steer -2.2049296585513622 for plane 0, corrected to -1
[Turn 5] [Validation Error] Player 0 sent invalid steer -1.5509045314217202 for plane 1, corrected to -1
[Turn 5] [Validation Error] Player 0 sent invalid steer 1.5509045314217194 for plane 4, corrected to 1
[Turn 6] [Validation Error] Player 0 sent invalid steer -2.6655513523700445 for plane 0, corrected to -1
[Turn 6] [Validation Error] Player 0 sent invalid steer -1.9824069191561304 for plane 1, corrected to -1
[Turn 6] [Validation Error] Player 0 sent invalid steer 1.9824069191561278 for plane 4, corrected to 1
[Turn 7] [Validation Error] Player 0 sent invalid steer -3.159859317102723 for plane 0, corrected to -1
[Turn 7] [Validation Error] Player 0 sent invalid steer -2.4638493802597896 for plane 1, corrected to -1
[Turn 7] [Validation Error] Player 0 sent invalid steer 2.463849380259787 for plane 4, corrected to 1
[Turn 8] [Validation Error] Player 0 sent invalid steer -3.654167281835403 for plane 0, corrected to -1
[Turn 8] [Validation Error] Player 0 sent invalid steer -2.962422406629769 for plane 1, corrected to -1
[Turn 8] [Validation Error] Player 0 sent invalid steer -1.3479764583840808 for plane 2, corrected to -1
[Turn 8] [Validation Error] Player 0 sent invalid steer 1.3479764583840839 for plane 3, corrected to 1
[Turn 8] [Validation Error] Player 0 sent invalid steer 2.96242240662977 for plane 4, corrected to 1
[Turn 9] [Validation Error] Player 0 sent invalid steer -4.114788975654085 for plane 0, corrected to -1
[Turn 9] [Validation Error] Player 0 sent invalid steer -3.4441490704498383 for plane 1, corrected to -1
[Turn 9] [Validation Error] Player 0 sent invalid steer -1.7797600245552048 for plane 2, corrected to -1
[Turn 9] [Validation Error] Player 0 sent invalid steer 1.7797600245552077 for plane 3, corrected to 1
[Turn 9] [Validation Error] Player 0 sent invalid steer 3.444149070449845 for plane 4, corrected to 1
[Turn 10] [Validation Error] Player 0 sent invalid steer -4.510333791338368 for plane 0, corrected to -1
[Turn 10] [Validation Error] Player 0 sent invalid steer -3.8762004956716103 for plane 1, corrected to -1
[Turn 10] [Validation Error] Player 0 sent invalid steer -2.2613481907273485 for plane 2, corrected to -1
[Turn 10] [Validation Error] Player 0 sent invalid steer 2.261348190727351 for plane 3, corrected to 1
[Turn 10] [Validation Error] Player 0 sent invalid steer 3.876200495671623 for plane 4, corrected to 1

