---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 29.466666666666665] [Damage event] PLANE_ATTACK: plane 100 damaged by 5 for 1 damage, now dead
[Turn 57.13333333333333] [Damage event] PLANE_ATTACK: plane 104 damaged by 6 for 1 damage, now dead
[Turn 58] [Damage event] COLLISION: plane 72 damaged by 6 for 1 damage, now dead
[Turn 58] [Damage event] COLLISION: plane 75 damaged by 6 for 1 damage, now dead
[Turn 58] [Damage event] COLLISION: plane 6 damaged by 72 for 20 damage, now dead
[Turn 58] [Damage event] COLLISION: plane 6 damaged by 75 for 20 damage, now dead
[Turn 59.53333333333333] [Damage event] PLANE_ATTACK: plane 45 damaged by 2 for 1 damage, now dead
[Turn 59.8] [Damage event] PLANE_ATTACK: plane 16 damaged by 4 for 1 damage, now dead
[Turn 67.13333333333334] [Damage event] PLANE_ATTACK: plane 81 damaged by 4 for 1 damage, now dead
[Turn 69] [Damage event] COLLISION: plane 103 damaged by 4 for 1 damage, now dead
[Turn 69] [Damage event] COLLISION: plane 4 damaged by 103 for 10 damage, now dead
[Turn 72] [Damage event] PLANE_ATTACK: plane 49 damaged by 0 for 1 damage, now dead
[Turn 78.06666666666666] [Damage event] PLANE_ATTACK: plane 44 damaged by 2 for 1 damage, now dead
[Turn 79.53333333333333] [Damage event] PLANE_ATTACK: plane 51 damaged by 2 for 1 damage, now dead
[Turn 86.53333333333333] [Damage event] PLANE_ATTACK: plane 30 damaged by 0 for 1 damage, now dead
[Turn 87.13333333333334] [Damage event] PLANE_ATTACK: plane 7 damaged by 3 for 1 damage, now dead
[Turn 93.06666666666666] [Damage event] PLANE_ATTACK: plane 21 damaged by 0 for 1 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 0 damaged for 5 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 1 damaged for 5 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 2 damaged for 5 damage, now dead
[Turn 135.2] [Damage event] BORDER: plane 3 damaged for 5 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

