---- OUTPUT (stdout) ----
Waiting for connection from team 0 on 9001
Waiting for connection from team 1 on 9002
Connected to team 1 on 9002
Connected to team 0 on 9001
Game started!
[Turn 18.4] [Damage event] PLANE_ATTACK: plane 17 damaged by 2 for 1 damage, still alive
[Turn 62] [Damage event] PLANE_ATTACK: plane 7 damaged by 2 for 1 damage, still alive
[Turn 93.66666666666667] [Damage event] PLANE_ATTACK: plane 3 damaged by 7 for 1 damage, still alive
[Turn 94] [Damage event] PLANE_ATTACK: plane 3 damaged by 7 for 1 damage, still alive
[Turn 112.46666666666667] [Damage event] PLANE_ATTACK: plane 6 damaged by 5 for 1 damage, still alive
[Turn 112.46666666666667] [Damage event] PLANE_ATTACK: plane 5 damaged by 6 for 1 damage, still alive
[Turn 113] [Damage event] PLANE_ATTACK: plane 6 damaged by 5 for 1 damage, still alive
[Turn 113.46666666666667] [Damage event] COLLISION: plane 6 damaged by 5 for 3 damage, now dead
[Turn 113.46666666666667] [Damage event] COLLISION: plane 5 damaged by 6 for 3 damage, now dead
[Turn 147] [Damage event] PLANE_ATTACK: plane 3 damaged by 7 for 1 damage, still alive
[Turn 147.2] [Damage event] COLLISION: plane 7 damaged by 3 for 2 damage, now dead
[Turn 147.2] [Damage event] COLLISION: plane 3 damaged by 7 for 7 damage, now dead
[Turn 160.46666666666667] [Damage event] PLANE_ATTACK: plane 0 damaged by 18 for 1 damage, still alive
[Turn 161] [Damage event] PLANE_ATTACK: plane 0 damaged by 18 for 1 damage, still alive
[Turn 246.8] [Damage event] PLANE_ATTACK: plane 18 damaged by 2 for 1 damage, still alive
[Turn 247] [Damage event] PLANE_ATTACK: plane 18 damaged by 2 for 1 damage, still alive
[Turn 272.93333333333334] [Damage event] PLANE_ATTACK: plane 18 damaged by 2 for 1 damage, still alive
[Turn 272.93333333333334] [Damage event] PLANE_ATTACK: plane 2 damaged by 18 for 1 damage, still alive
[Turn 273] [Damage event] PLANE_ATTACK: plane 18 damaged by 2 for 1 damage, still alive
[Turn 273] [Damage event] PLANE_ATTACK: plane 2 damaged by 18 for 1 damage, still alive
[Turn 273.8] [Damage event] COLLISION: plane 18 damaged by 2 for 6 damage, now dead
[Turn 273.8] [Damage event] COLLISION: plane 2 damaged by 18 for 5 damage, now dead
Game ended!
Writing gamelog to gamelog.json...
Done

---- ERRORS (stderr) ----

